mode,normalized,classifier,rseed,time,accuracy,f1
smartphoneatboth,True,LogisticRegression,855513,0.163542032242,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,74041245,0.163178920746,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,22950172,0.162979125977,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,18426920,0.163063049316,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,34295891,0.162899971008,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,86828940,0.163647174835,0.837606837607,0.829026240003
smartphoneatboth,True,LogisticRegression,62062274,0.163922071457,0.837606837607,0.829026240003
smartphoneatboth,True,RandomForestClassifier,93797449,0.0847330093384,0.905982905983,0.902811078136
smartphoneatboth,True,RandomForestClassifier,81918009,0.0837759971619,0.952991452991,0.952260980766
smartphoneatboth,True,RandomForestClassifier,61132739,0.0859580039978,0.92735042735,0.924774915058
smartphoneatboth,True,RandomForestClassifier,37701167,0.085599899292,0.854700854701,0.858871585071
smartphoneatboth,True,RandomForestClassifier,78112324,0.0839779376984,0.92735042735,0.925801357524
smartphoneatboth,True,RandomForestClassifier,25567961,0.0840401649475,0.92735042735,0.924543994916
smartphoneatboth,True,RandomForestClassifier,22644213,0.0826649665833,0.910256410256,0.905082875441
smartphoneatboth,True,RandomForestClassifier,74540349,0.0848431587219,0.905982905983,0.901140612715
smartphoneatboth,True,RandomForestClassifier,98054267,0.0850059986115,0.918803418803,0.916700962665
smartphoneatboth,True,RandomForestClassifier,71167868,0.0852870941162,0.940170940171,0.93691976883
smartphoneatboth,True,RandomForestClassifier,16252189,0.0850601196289,0.931623931624,0.930059253423
smartphoneatboth,True,RandomForestClassifier,1813579,0.0844550132751,0.871794871795,0.869423840485
smartphoneatboth,True,RandomForestClassifier,39363446,0.0846679210663,0.92735042735,0.922867469384
smartphoneatboth,True,RandomForestClassifier,855513,0.0848379135132,0.91452991453,0.906616542526
smartphoneatboth,True,RandomForestClassifier,74041245,0.0850811004639,0.92735042735,0.923638654344
smartphoneatboth,True,RandomForestClassifier,22950172,0.0849661827087,0.901709401709,0.895380186765
smartphoneatboth,True,RandomForestClassifier,18426920,0.0855910778046,0.910256410256,0.902482605057
smartphoneatboth,True,RandomForestClassifier,34295891,0.086846113205,0.901709401709,0.894139268726
smartphoneatboth,True,RandomForestClassifier,86828940,0.0838270187378,0.905982905983,0.899578706975
smartphoneatboth,True,RandomForestClassifier,62062274,0.0847651958466,0.935897435897,0.932843296767
smartphoneatboth,True,ExtraTreesClassifier,93797449,0.0511009693146,0.931623931624,0.926443205213
smartphoneatboth,True,ExtraTreesClassifier,81918009,0.0509951114655,0.948717948718,0.94868328514
smartphoneatboth,True,ExtraTreesClassifier,61132739,0.0510199069977,0.893162393162,0.887233114435
smartphoneatboth,True,ExtraTreesClassifier,37701167,0.0515239238739,0.91452991453,0.911778423844
smartphoneatboth,True,ExtraTreesClassifier,78112324,0.0516428947449,0.923076923077,0.918889837701
smartphoneatboth,True,ExtraTreesClassifier,25567961,0.0512199401855,0.923076923077,0.919957828582
smartphoneatboth,True,ExtraTreesClassifier,22644213,0.0510950088501,0.905982905983,0.907019258769
smartphoneatboth,True,ExtraTreesClassifier,74540349,0.0515198707581,0.918803418803,0.919077943069
